house_id,timestamp,dishwasher_mean,dishwasher_max,dishwasher_min,dishwasher_std,is_on_sum,is_on_mean,P_agg_mean,P_agg_max,external_temperature_mean,internal_temperature_mean,external_humidity_mean,internal_humidity_mean,hour,day_of_week,is_weekend,month,season,time_period,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_6h,rolling_std_6h,rolling_mean_24h,diff_1h,diff_24h
12,2023-03-24 09:00:00,3.6271319444444443,4.29,3.21,0.22612174711841695,0,0.0,692.1589980489418,2809.045,15.95,21.925,53.375,62.1875,9,4,0,3,1,1,4.140465277777778,3.9894097222222222,2.778613425925926,0.0,0.0,3.6250972222222226,2.4226033950617283,1.9350234160274304,2.291084940519918,-0.5133333333333341,0.0020347222222216743
12,2023-03-24 10:00:00,3.6277638888888886,4.22,3.18,0.1564078166174581,0,0.0,485.37861583994714,2617.056666666667,17.0375,21.88,47.875,59.625,10,4,0,3,1,1,3.6271319444444443,4.140465277777778,3.9894097222222222,0.0,0.0,3.8804930555555552,3.027230709876543,1.5563764049913065,2.280554558575474,0.0006319444444442546,-0.25272916666666667
12,2023-03-24 11:00:00,3.6364166666666664,3.91,3.31,0.10645303801968796,0,0.0,335.46930439814815,634.2916666666667,17.75,21.88,44.875,58.25,11,4,0,3,1,1,3.6277638888888886,3.6271319444444443,4.140465277777778,0.0,0.0,3.677064814814815,3.6333001543209877,0.47214368581263505,2.2788608857359676,0.008652777777777843,-0.04064814814814843
12,2023-03-24 12:00:00,3.675292479108635,3.96,3.36,0.10413828083590097,0,0.0,284.7278637418756,443.12,18.037604456824514,21.877499999999998,43.37604456824513,57.7497678737233,12,4,0,3,1,1,3.6364166666666664,3.6277638888888886,3.6271319444444443,2.778613425925926,0.0,3.6164375,3.7827466631847724,0.22444005785093585,2.281313176532161,0.038875812441968804,0.05885497910863524
12,2023-03-24 13:00:00,3.649555555555555,4.11,3.29,0.13948102065246432,0,0.0,286.91530196629213,664.0666666666666,18.0625,21.97145833333333,44.0,57.208333333333336,13,4,0,3,1,2,3.675292479108635,3.6364166666666664,3.6277638888888886,3.9894097222222222,0.0,3.6300974930362115,3.7261043020736615,0.20378753965245147,2.2821239291371334,-0.025736923553079993,0.019458062519343677
12,2023-03-24 14:00:00,3.709201388888889,4.03,3.34,0.12954335535752406,0,0.0,182.0601312169312,380.3283333333333,17.775,21.859791666666666,44.75,58.104166666666664,14,4,0,3,1,2,3.649555555555555,3.675292479108635,3.6364166666666664,4.140465277777778,0.0,3.6853481894150417,3.654226987258846,0.032370994936033515,2.2831178124485434,0.05964583333333362,0.02385319947384712
12,2023-03-24 15:00:00,3.684930555555556,4.05,3.28,0.13449817246057205,0,0.0,331.16481398809526,737.3666666666667,16.9875,,48.25,58.083333333333336,15,4,0,3,1,2,3.709201388888889,3.649555555555555,3.675292479108635,3.6271319444444443,0.0,3.6240416666666664,3.6638600891106985,0.031276810639992304,2.285654849485581,-0.02427083333333302,0.060888888888889436
12,2023-03-24 16:00:00,3.593152777777778,3.91,3.27,0.11519810473649647,0,0.0,260.7374400462963,570.3666666666667,15.7375,21.88,54.625,57.291666666666664,16,4,0,3,1,2,3.684930555555556,3.709201388888889,3.649555555555555,3.6277638888888886,0.0,3.7483868715083797,3.65809157059218,0.04095882759341901,2.279186762246806,-0.09177777777777774,-0.1552340937306016
12,2023-03-24 17:00:00,3.5769930555555556,3.94,3.21,0.12043215166633472,0,0.0,344.41866851851853,645.8283333333333,14.2375,21.9075,62.75,57.0,17,4,0,3,1,2,3.593152777777778,3.684930555555556,3.709201388888889,3.6364166666666664,0.0,3.742298611111111,3.6481876354069946,0.052738539754509366,2.2722990307653244,-0.016159722222222506,-0.16530555555555537
12,2023-03-24 18:00:00,3.6353263888888887,3.98,3.33,0.12863062141989295,0,0.0,343.5415135582011,750.4383333333333,12.775,21.84375,73.125,58.125,18,4,0,3,1,2,3.5769930555555556,3.593152777777778,3.684930555555556,3.675292479108635,2.778613425925926,3.530409722222222,3.641526620370371,0.05112981959520514,2.276670558543102,0.058333333333333126,0.10491666666666655
12,2023-03-24 19:00:00,3.623175487465181,3.98,3.27,0.1304614708452683,0,0.0,342.2010547818013,811.5819999999999,12.04958217270195,21.782590529247912,77.75626740947075,58.99860724233983,19,4,0,3,1,3,3.6353263888888887,3.5769930555555556,3.593152777777778,3.649555555555555,3.9894097222222222,3.620361111111111,3.637129942355308,0.051434633997879245,2.2767878242245216,-0.012150901423707783,0.002814376354070003
12,2023-03-24 20:00:00,3.732430362116992,4.02,3.44,0.11426621933028208,0,0.0,236.21531337047355,1203.405,12.038231197771589,21.860863509749304,75.4958217270195,58.87604456824513,20,4,0,3,1,3,3.623175487465181,3.6353263888888887,3.5769930555555556,3.709201388888889,4.140465277777778,3.6954791666666664,3.6410014378933258,0.05835332656770034,2.278327457368285,0.10925487465181094,0.036951195450325436
12,2023-03-24 21:00:00,3.735479166666667,4.09,3.43,0.11378688105462458,0,0.0,277.35369248826294,447.975,11.375,21.88,79.5,59.625,21,4,0,3,1,3,3.732430362116992,3.623175487465181,3.6353263888888887,3.684930555555556,3.6271319444444443,0.0,3.6494262064118437,0.06869638580831672,2.4339724226460633,0.0030488045496750438,3.735479166666667
12,2023-03-24 22:00:00,3.7053611111111113,4.02,3.43,0.11034830972140891,0,0.0,213.55135346441946,681.26,10.8125,21.825,83.5,59.9375,22,4,0,3,1,3,3.735479166666667,3.732430362116992,3.623175487465181,3.593152777777778,3.6277638888888886,0.0,3.668127595300733,0.06551264035415602,2.588362468942359,-0.03011805555555558,3.7053611111111113
12,2023-03-24 23:00:00,3.777242339832869,4.18,3.43,0.11536643001496652,0,0.0,204.15089302769817,500.31166666666667,10.387186629526463,21.870041782729807,87.12813370473538,60.0,23,4,0,3,1,3,3.7053611111111113,3.735479166666667,3.732430362116992,3.5769930555555556,3.6364166666666664,0.0,3.701502476013618,0.06062467714555252,2.7457475664353956,0.07188122872175784,3.777242339832869
12,2023-03-25 00:00:00,3.7110027855153205,4.03,3.4,0.11633232349362682,0,0.0,207.24980799840827,414.9525,10.087186629526462,21.84526462395543,89.75208913649026,59.99860724233983,0,5,1,3,1,0,3.777242339832869,3.7053611111111113,3.735479166666667,3.6353263888888887,3.675292479108635,0.0,3.71411520878469,0.05125085872601967,2.9003726824985336,-0.06623955431754869,3.7110027855153205
12,2023-03-25 01:00:00,3.6734052924791087,3.99,3.37,0.10949564772790185,0,0.0,179.1085916898793,329.95,9.787604456824512,21.815181058495824,91.37465181058496,59.99860724233983,1,5,1,3,1,0,3.7110027855153205,3.777242339832869,3.7053611111111113,3.623175487465181,3.649555555555555,0.0,3.7224868429536784,0.03492853109064903,3.0534312363518303,-0.03759749303621174,3.6734052924791087
12,2023-03-25 02:00:00,3.72268156424581,4.16,3.36,0.1112750862198389,0,0.0,207.13651489757913,1082.0233333333333,9.3375,21.81481843575419,93.125,60.00139664804469,2,5,1,3,1,0,3.6734052924791087,3.7110027855153205,3.777242339832869,3.732430362116992,3.709201388888889,0.0,3.7208620433084807,0.03459865870365682,3.2085429681954056,0.04927627176670146,3.72268156424581
12,2023-03-25 03:00:00,3.670609243697479,4.04,3.31,0.11229989994062162,0,0.0,149.43640604343722,372.61,8.300560224089637,21.807619047619045,96.12394957983193,60.175070028011206,3,5,1,3,1,0,3.72268156424581,3.6734052924791087,3.7110027855153205,3.735479166666667,3.684930555555556,0.0,3.7100503894802834,0.038976065329718916,3.361485020016134,-0.05207232054833133,3.670609243697479
12,2023-03-25 04:00:00,3.818465277777778,4.59,3.44,0.25048564704582904,0,0.0,615.1297425925926,2906.521666666667,7.0375,21.7275,97.625,60.7,4,5,1,3,1,0,3.670609243697479,3.72268156424581,3.6734052924791087,3.7053611111111113,3.593152777777778,0.0,3.7289010839247276,0.058643626984759,3.5205877399235415,0.14785603408029901,3.818465277777778
12,2023-03-25 05:00:00,3.9011875,4.66,3.43,0.3198470804263212,0,0.0,1223.362278637566,3707.055,7.574999999999998,21.595,95.5,61.0,5,5,1,3,1,0,3.818465277777778,3.670609243697479,3.72268156424581,3.777242339832869,3.5769930555555556,0.0,3.7495586106192498,0.09163046067341475,3.6831372190902076,0.08272222222222192,3.9011875
12,2023-03-25 06:00:00,4.070305555555556,5.13,3.35,0.5013021800621523,0,0.0,1872.741740068342,4889.054,10.3625,21.544999999999998,90.0,61.75,6,5,1,3,1,0,3.9011875,3.818465277777778,3.670609243697479,3.7110027855153205,3.6353263888888887,2.778613425925926,3.809442405625955,0.15611300024418262,3.7369577244914427,0.1691180555555558,1.2916921296296295
12,2023-03-25 07:00:00,3.8452430555555552,4.49,3.4,0.2951911942746045,0,0.0,1065.057391765873,2825.8100000000004,13.425,21.56,78.25,63.0,7,5,1,3,1,1,4.070305555555556,3.9011875,3.818465277777778,3.6734052924791087,3.623175487465181,3.9894097222222222,3.8380820328053624,0.14121654657893165,3.730950780046998,-0.2250625000000004,-0.144166666666667
12,2023-03-25 08:00:00,3.535361111111111,3.85,2.65,0.16408544597536567,0,0.0,329.84775162037033,2373.143333333333,16.125,21.5375,62.125,62.8125,8,5,1,3,1,1,3.8452430555555552,4.070305555555556,3.9011875,3.72268156424581,3.732430362116992,4.140465277777778,3.8068619572829134,0.18557213946726506,3.7057381064358865,-0.3098819444444443,-0.6051041666666674
12,2023-03-25 09:00:00,3.629506944444444,4.04,3.34,0.12037480617962573,0,0.0,187.35711904761905,533.7674999999999,18.1,21.809583333333332,51.75,62.958333333333336,9,5,1,3,1,1,3.535361111111111,3.8452430555555552,4.070305555555556,3.670609243697479,3.735479166666667,3.6271319444444443,3.8000115740740736,0.19224647037133488,3.70583706476922,0.09414583333333315,0.002374999999999794
12,2023-03-25 10:00:00,3.773791666666667,4.45,3.32,0.27903889903148305,0,0.0,989.0560583002646,2591.795,19.475,21.877499999999998,46.875,62.666666666666664,10,5,1,3,1,1,3.629506944444444,3.535361111111111,3.8452430555555552,3.818465277777778,3.7053611111111113,3.6277638888888886,3.792565972222222,0.19225392026881263,3.7119215555099605,0.14428472222222277,0.1460277777777783
12,2023-03-25 11:00:00,3.8278958333333333,4.75,3.21,0.3687750740967583,0,0.0,1547.9327006613757,4178.179999999999,20.325,21.84375,43.875,62.125,11,5,1,3,1,1,3.773791666666667,3.629506944444444,3.535361111111111,3.9011875,3.777242339832869,3.6364166666666664,3.780350694444444,0.18620533505560935,3.719899854121072,0.0541041666666664,0.19147916666666687
