house_id,timestamp,washing_machine_mean,washing_machine_max,washing_machine_min,washing_machine_std,is_on_sum,is_on_mean,P_agg_mean,P_agg_max,external_temperature_mean,internal_temperature_mean,external_humidity_mean,internal_humidity_mean,V_mean,A_mean,hour,day_of_week,is_weekend,month,season,time_period,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_6h,rolling_std_6h,rolling_mean_24h,diff_1h,diff_24h
3,2022-07-15 15:00:00,0.0,0.0,0.0,0.0,0,0.0,75.07162777777778,115.219,30.4375,27.9,27.75,59.0,232.92270000000002,0.4607583333333334,15,4,0,7,2,2,0.0,0.0,0.0,0.0,0.0015485714285714287,0.0,0.0,0.0,0.0002019391054062842,0.0,0.0
3,2022-07-15 16:00:00,0.0,0.0,0.0,0.0,0,0.0,103.98376388888889,239.619,29.6625,27.875,29.75,59.25,233.46224166666667,0.5743277777777778,16,4,0,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002019391054062842,0.0,0.0
3,2022-07-15 17:00:00,41.87949056603774,1849.048,0.0,250.87978565204995,34,0.1069182389937107,1817.4141352201257,3926.834,28.774528301886797,27.799999999999997,31.97641509433962,48.45283018867924,231.00645283018866,8.04364465408805,17,4,0,7,2,2,0.0,0.0,0.0,0.0,0.0,0.0,6.979915094339623,17.097230429082384,1.7451807126903118,41.87949056603774,41.87949056603774
3,2022-07-15 18:00:00,76.04360724233983,189.98,2.813,52.93072953197086,222,0.6183844011142061,384.1881671309192,1291.603,27.65041782729805,27.900000000000002,35.12395543175487,51.250696378830085,231.51480501392757,2.1314484679665737,18,4,0,7,2,2,41.87949056603774,0.0,0.0,0.0,0.0,0.0,19.653849634729596,32.307519557250814,4.913664347787805,34.16411667630209,76.04360724233983
3,2022-07-15 19:00:00,61.0571,457.887,0.0,64.57643993091855,158,0.4388888888888889,305.4137361111111,781.813,26.4875,27.975,38.875,55.25,231.14071666666666,1.6571083333333332,19,4,0,7,2,3,76.04360724233983,41.87949056603774,0.0,0.0,0.0,0.0,29.830032968062927,34.42529939348024,7.457710181121139,-14.986507242339833,61.0571
3,2022-07-15 20:00:00,0.0,0.0,0.0,0.0,0,0.0,600.8132555555555,1269.427,25.425,27.85,43.5,55.25,228.79275833333332,2.726208333333333,20,4,0,7,2,3,61.0571,76.04360724233983,41.87949056603774,0.0,0.0016638888888888888,0.0,29.830032968062927,34.42529939348024,7.457710181121139,-61.0571,0.0
3,2022-07-15 21:00:00,0.0014453781512605043,0.516,0.0,0.0273096159996881,0,0.0,576.462243697479,1107.369,24.50140056022409,27.89971988795518,47.49299719887955,57.747899159663866,230.3376442577031,2.6454425770308125,21,4,0,7,2,3,0.0,61.0571,76.04360724233983,0.0,0.0,0.0,29.83027386442147,34.42504890930115,7.457770405210774,0.0014453781512605043,0.0014453781512605043
3,2022-07-15 22:00:00,0.0,0.0,0.0,0.0,0,0.0,506.41029344729344,983.965,23.73974358974359,27.975783475783476,51.11538461538461,58.74928774928775,231.12133048433049,2.3046980056980058,22,4,0,7,2,3,0.0014453781512605043,0.0,61.0571,0.0,0.0,0.0,29.83027386442147,34.42504890930115,7.457770405210774,-0.0014453781512605043,0.0
3,2022-07-16 04:00:00,0.0,0.0,0.0,0.0,0,0.0,490.25340455840455,999.266,22.366595441595443,27.575498575498575,58.60897435897436,52.75498575498575,229.94232478632478,2.244361823361823,4,5,1,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.570921921068163e-07,7.457637794809073,0.0,0.0
3,2022-07-16 05:00:00,0.0,0.0,0.0,0.0,0,0.0,425.55541292134836,1011.518,25.21699438202247,27.699999999999996,47.40660112359551,54.74438202247191,231.10344382022473,1.9689466292134832,5,5,1,7,2,0,0.0,0.0,0.0,0.0,41.87949056603774,0.0,0.0,6.570921921068163e-07,7.457637794809073,0.0,0.0
